mx,my,yaw,cmd
-38.741147,72.585418,-68.012611,
-35.935962,62.813723,-77.787329,
-33.300853,52.723518,-71.945394,
-33.700147,31.755942,-85.596400,
-32.51556,21.224434,-89.306874,
-23.980498,1.697964,-54.840827,
-21.156102,-1.506198,-19.589083,
-9.918127,-0.256677,5.956584,
0.743136,2.05712,11.448384,
10.843032,3.505432,5.518386,
21.255146,3.671874,-0.084110,
30.382646,3.341202,35.994756,
37.586928,11.195861,67.746759,
38.7202,29.9665,171.887339,
31.2771,32.2999,179.908748,
21.2448,31.971,179.908748,
2.86,30.4,100.984653,
21.2448,31.971,0.000000,
31.2771,32.2999,0.000000,
43.293351,51.077644,93.182189,
45.548135,61.379861,72.642110,
47.86506,71.690594,78.721364,
48.889869,82.185932,84.819813,
50.485221,92.448211,74.116159,
53.003003,102.834207,76.279476,
55.749237,112.804461,70.712388,
56.671374,121.0,93.094183,
56.2,127.234299,127.418308,
43.15663,130.54924,164.327504,
32.79734,131.171726,-173.062876,
22.474618,129.460381,-168.993615,
12.313789,128.876142,-171.948645,
6.47,130,-86.618384,
7.02,127,-176.618366,
-3.763919,125.774733,-177.161186,
-14.187142,124.924783,-176.711242,
-24.567585,123.779674,-172.545209,
-33.989362,121.976569,-141.813070,
-41.16877,114.86186,-125.686944,
-46.20738,105.821021,-116.247407,
-47.283134,100.185004,-85.088472,
-44.016238,89.932525,-67.710720,
-40.663766,80.280698,-68.012611,
-38.741147,72.585418,-68.012611,
